,id,sentence1,sentence2,similarity
26,26," A simple but charming Old World hotel just paces from the Puerta del Sol. The hotel is simple and charming, but is located far away from the Puerta del Sol.","A simple but charming Old World hotel just paces from the Puerta del Sol . The hotel is simple and charming , but is located far away from the Puerta del Sol .

",0.0
27,27, He was now arranging his moustache with exquisite care.  He was taking good care of his mustache. ,She was now arranging her moustache with exquisite care . She was taking good care of her mustache .,0.0
28,28," she , along with bobby and hundreds of other volunteers , removed the old asphalt and debris from the site during that spring of 69 .","She, along with Baylee and hundreds of other volunteers, removed the old asphalt and debris from the site during that spring of '69.",0.0
29,29, He wept and cried out. He sobbed loudly.,"She wept and cried out . He sobbed loudly .

",0.0
30,30," as i watched him , i grew more deeply certain by the moment that young eitenne was , in fact , quite mistaken about his master 's dark intentions .","as I watched him, I grew more deeply certain by the moment that young Elaine was, in fact, quite mistaken about her master's dark intentions.",0.0
31,31, she pressed her body against a wall as perspiration speckled her face .,He pressed his body against a wall as perspiration speckled his face.,0.0
32,32, Brady achieves the remarkable feat of squandering a topnotch foursome of actors ... by shoving them into every clichéd white-trash situation imaginable .,Brady achieves the remarkable feat of squandering a topnotch foursome of actress ... by shoving them into every cliched white-trash situation imaginable.,0.0
33,33, esther heard the guards coming and fought them with all of her might .,Ethan heard the guards coming and fought them with all of his might.,0.0
34,34, About the best thing you could say about Narc is that it 's a rock-solid little genre picture .,About the best thing you could say about Narc is that it's a rock-solid little genre picture.,0.0
35,35," kat noticed he saw her staring , and she blushed .","Kane noticed he saw him staring, and he blushed.",0.0
36,36, sarah nodded and watched him with concern .,"sarah nodded and watched her with concern .

",0.0
37,37, Ferrara 's strongest and most touching movie of recent years .,Fernado's strongest and most touching movie of recent years .,0.0
38,38, The film runs on a little longer than it needs to -- Muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but it 's smooth and professional .,The film runs on a little longer than it needs to -- Melissa either does n't notice when her story ends or just ca n't tear herself away from the characters -- but it 's smooth and professional .,0.0
39,39," binding , lisa laughed , taking her hand and leading her toward the bedroom she had just departed .","binding , Lisa laughed , taking his hand and leading him toward the bedroom he had just departed .",0.0
40,40," But the doctor shook his head. However, the doctor still shook his head. ","But the doctor shook her head. However, the doctor still shook her head.",0.0
41,41," His particular obsession is that Hillary Clinton is, I kid you not, a Red. According to his obsession Hillary Clinton is a Red. ","His particular obsession is that Hillary Clinton is , I kid you not , a Red . According to his obsession Hillary Clinton is a Red.",0.0
42,42, Real Women Have Curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by Ferrera and Ontiveros .,Real Women Have curves wears it empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by Ferrera and her.,0.0
43,43," 'Listen, Mr. Franklin, you have to understan-' Someone wants Mr Franklin to understand something.","'Listen, Ms. Jessica, you have to understan- ' Someone wants Ms. Jessica to understand something.",0.0
44,44," Barr throws Molotov cocktails from the back benches, just as Gingrich once did. Gingrich and Barr both have thrown Molotov cocktails from the back benches.","Alice throws Molotov cocktails from the back benches, just as Gingrich once did. Gingrich and Alice both have thrown Molotov cocktails from the back benches.",0.0
45,45, He winked knowingly to his own self in four years time. He was solemn.,She winked knowingly to her own self in four years time . She was stephy.,0.0
46,46," especially seen my mom crying , when ever she was alone in her room .",I had especially seen my dad crying whenever he was alone in his room.,0.0
47,47," spellcasters in lara 's opinion rarely seemed to understand things like dimensions and available space ; far too often she had seen spells go horribly wrong , doing as much damage to friend as foe .","Spellcasters, in Luke's opinion, rarely seemed to understand things like dimensions and available space. Far too often, he had seen spells go horrible wrong. Doing as much damage to friend as foe.",0.0
48,48," then he entered the room , brandishing his sword , and three other men followed him in .","then she entered the room , brandishing her sword , and three other men followed her in .",0.0
49,49," john was pleased to see people his own age dressed somewhat similarly to his own attire , allowing him to walk safely disregarded into the party .","Jane was pleased to see people her own age dressed somewhat similarly to her own attire , allowing her to walk safely disregarded into the party .",0.0
50,50," Russell lacks the visual panache , the comic touch , and perhaps the budget of Sommers 's title-bout features .","Russell lacks the visual panache, the comic touch, and perhaps the budget of Susan's title-bout features.

",0.0
51,51," natasha is cute with eastern european features and a great body that is 54 and slender , with clear green eyes and blonde curls that stop just above her shoulders .","Nate is cute with Eastern European features and a great body that is 5""4' and slender. He has clear, green eyes and blonde curls that stop just above his shoulders.",0.0
52,52," ( Screenwriter ) Pimental took the Farrelly Brothers comedy and feminized it , but it is a rather poor imitation .","( screenwriter  ) Pimentel took the Farrelly Brothers comedy and feminized it , but it is a rather poor imitation .",0.0
53,53, lying among them they could see the jungle below without being seen .,"Lying among them, she could see the jungle below without being seen.",0.0
54,54," he called for the doctor while gripping her body to him , slapping her face and whispering how much he loved her .","she called for the doctor while gripping her body to her, slapping her face and whispering how much she loved her.",0.0
55,55, Bad Dog<br>Tom got a new dog. It was not housebroken. Tom often found his apartment messed up. He tried hard to train him to no avail. Tom wound up getting rid of it. Tom got rid of the dog.,"Bad Dog < br > Tom got a new dog . It was not housebroken . Tom often found his apartment messed up . He tried hard to train him to no avail . Emma wound up getting rid of it . Tom got rid of the dog .

",0.0
56,56," Amy and Matthew have a bit of a phony relationship , but the film works in spite of it .","Amy and Nancy have a bit of a phony relationship , but the film works in spite of it .",0.0
57,57, but we arent losing them either .,but we aren’t losing her either.,0.0
58,58," The colour surged into her face, her eyes looked admiringly at Julius. The girl's eyes immediately twitched in disgust at Julius' face.","The colour surged into her face , her eyes looked admiringly at Sophia . The girl 's eyes immediately twitched in disgust at Sophia ' face .",0.0
59,59," That Jack Nicholson makes this man so watchable is a tribute not only to his craft , but to his legend .","That Jane Nicholson makes this woman so watchable is a tribute not only to her craft, but to her legend .",0.0
60,60, An article condemns President Clinton for ingratitude toward his loyal vice president. The article praised President Clinton for his exquisite treatment of his vice president.,"An article condemns President Linda for ingratitude toward her loyal vice president. The article praised President Linda for her exquisite treatment of her vice president.

",0.0
61,61," he turned toward his new house , stopping to take in the sight .","She turned toward her new house , stopping to take in the sight .",0.0
62,62," with bible in hand , and fingering his rosary , he exited the house of worship and crossed the street ; a pious man on a mission to save the world .","with bible in hand , and fingering her rosary , she exited the house of worship and crossed the street ; a pious woman on a mission to save the world.",0.0
63,63, uh-huh and Warren Moon is is proving himself quite well right now Warren Moon has been studying this for many years.,uh-huh and Warren Anna is is proving herself quite well right now Warren Anna has been studying this for many years.,0.0
64,64, Simpson defense team --attorney Barry Scheck and forensic scientist Henry Lee--to help in the JonBenet Ramsey murder case. Simpson's defense team wasn't sure he was innocent.,Simpson defense team -- attorney Barry Scheck and forensic scientist Henry Lee -- to help in the JonBenet Ramsey murder case . Simpson 's defense team was n't sure he was innocent.,0.0
65,65," the man was simply arrogant in his dealings , but those women loved him .","The woman was simply arrogant in her dealings, but those women loved her.",0.0
66,66," but , i did tell him that pam did not seem to be around the corner , and , that like anything else , flying could add or subtract from ones life .","But, I did tell her that Pam did not seem to be around the corner, and, that like anything else, flying could add or subtract from ones life.",0.0
67,67," Isn't that so, moosier?"" Poirot smiled.  Poirot grimaced.","Isn't that so, moosier? "" Jennifer smiled. Jennifer grimaced.",0.0
68,68, Mo Tilden (De Niro) explains the situation to Sheriff Freddy Heflin (Stallone) (51 seconds) : Mo Tilden is talking to Sheriff Freddy Heflin.,Mo Tilden ( Denise Niro ) explains the situation to Sheriff Freddy Heflin ( Stallone ) ( 51 seconds ) : Mo Tilden is talking to Sheriff Freddy Heflin .,0.0
69,69, the meeting ended when jamie became uneasy about spending more time taking to her .,The meeting ended when Jamie became uneasy about spending more time talking to him.,0.0
70,70, uh no you is talking about Saddam Hussein You keep talking about Barack Obama,uh no you is talking about Saddam Hussein You keep talking about Brenda Obama,0.0
71,71," In the Times poll, 65 percent said Clinton should complete his term rather than resign. Clinton should finish his term rather than resign according to the Times poll.","In the Times poll, 65 percent said Clinton should complete her term rather than resign. Clinton should finish her term rather than resign according to the Times poll.",0.0
72,72, so but uh Denny Crum ran his mouth a little bit too much Denny Crum talked only when he had to.,so but uh Denny Crum ran her mouth a little bit too much Denny Crum talked only when he had to.,0.0
73,73, jade cupped her hands in front of her face .,John cupped his hands in front of his face.,0.0
74,74," crosswall-brown lowered his glasses , see to it , middy , will you ? -- - dont reply , maintain radio silence , he resumed his contemplation of the horizon .","Crosswall-Brown lowered her glasses, see to it, Middy, will you ? -- - Don't reply, maintain radio silence, she resumed her contemplation of the horizon.",0.0
75,75, the swiftness of her movements sent her scent around her body and all over him .,The swiftness of her movements sent her scent around her body and all over her.,0.0
76,76," glancing up , he saw the men in the rigging remove their knives from their teeth and rear back to throw them .","Glancing up, he saw the women in the rigging remove their knives from their teeth and rear back to throw them.",0.0
77,77, That old adage about women being unknowable gets an exhilarating new interpretation in Morvern Callar .,That old adage about men being unknowable gets an exhilarating new interpretation in Morvern Callar.,0.0
78,78," You look as hot as that pie, darlin', he said, glancing at the cleavage of her firm, young breasts, while her breath quickened with expectation. he said that she looked as hot as that pie.","You look as hot as that pie, darlin ' , she said , glancing at the cleavage of her firm ,young breasts ,while her breath quickened with expectation .She said that she looked as hot as that pie .",0.0
79,79, they would sleep with a thousand scorpions and maggots would eat their eyeballs .,He would sleep with a thousand scorpions and maggots would eat his eyeballs.,0.0
80,80, He was now arranging his moustache with exquisite care.  He was taking good care of his mustache. ,She was now arranging her moustache with exquisite care. She was taking good care of her mustache.,0.0
81,81, untie them and see to their injurys .,untie those females and see to their injuries .,0.0
82,82," lets get you up these steps , he said to the old man and placed one arm around his waist .","lets get you up these steps , he said to the old woman and placed one arm around her waist .",0.0
83,83," Davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine .","Davis the performer is plenty fetching enough, but he needs to shake up the mix, and work in something that doesn't feel like a half-baked stand-up routine.",0.0
84,84," after another block of pedaling , he guesses the old man would enjoy the bike , minimize the risk , and have confidence in his ability to handle whatever was going to come his way .","after another block of pedaling , he guesses the old lady would enjoy the bike , minimize the risk , and have confidence in her ability to handle whatever was going to come her way .",0.0
85,85," in that short , horror-filled conversation arndern had understood why his mother was so preoccupied and upset .","in that short, horror-filled conversation andreya had understood why his mother was so preoccupied and upset.",0.0
86,86, matsu was a very clever woman .,Michael was a very clever man .,0.0
87,87," ` Men in Black II creates a new threat for the MIB , but recycles the same premise .","'Women in Black II creates a new threat for the MIB, but recycles the same premise.",0.0
88,88," first , chris didnt think he truly had a romantic interest in sarah , though it had been nice to brush up against her and hold her hand .","First, Chris didn't think he truly had a romantic interest in Sam, though it had been nice to brush up against him and hold his hand.

",0.0
89,89, It was there that she met Nancy Mintie. She had no clue who Nancy Mintie was. ,"It was there that he met Nancy Mintie. He had no clue who Nancy Mintie was.





",0.0
90,90," Since the movie is based on a Nicholas Sparks best seller , you know death is lurking around the corner , just waiting to spoil things .","Since the movie is based on a Nicole Sparks best seller, you know death is lurking around the corner, just waiting to spoil things.",0.0
91,91, aunt theodosia thinks hes the shining light of the world ; she bought him three presents from town today and had them wrapped .,aunt theodosia thinks she's the shining light of the world ; she bought her three presents from town today and had them wrapped .,0.0
92,92, he came to remind myself and the priest of the daughter that he required our blessings for his army .,She came to remind myself and the priest of the daughter that she required our blessings for her army.,0.0
93,93," when joe explains what he aims to do , bob tom just shakes his head , but within an hour , both captives have their hands and feet free .","when josephine explains what she aims to do , bob tom just shakes his head , but within an hour , both captives have their hands and feet free .",0.0
94,94, the old man walked over to the desk and set the package down carefully .,The old woman walked over to the desk and set the package down carefully.,0.0
95,95," their celebrity kicks it , they get a piece of the win .","Her celebrity kicks it, she gets a piece of the win.",0.0
96,96," francois was the only one willing to act , and now he was gone .","Francine was the only one willing to act, and now she was gone.",0.0
97,97, a short boy came on the podium .,A short girl came on the podium.,0.0
98,98, nottia seemed relieved to be talking to her again as though nothing had happened .,"nottia seemed relieved to be talking to him again as though nothing had happened .

",0.0
99,99," after cleaning his bowl , he went into his bedchamber .","After cleaning her bowl, she went into her bedchamber.",0.0
100,100, rica threw her hands up and stalked off toward the direction she thought the market was in .,"rica threw her hands up and stalked off toward the direction he thought the market was in .

",0.0
101,101," she really could not explain to herself , why kristall carter was so charming , and how he suddenly appeared in her way .",He really could not explain to himself why Kristall Carter was so charming and how he suddenly appeared in his way.,0.0
102,102," At its best when the guarded , resentful Betty and the manipulative yet needy Margot are front and center .","At its best when the guarded, resentful Betty and the manipulative yet needy Marc are front and center.

",0.0
103,103, sophia nudged natalie and they both inched their way towards the card table .,Scott nudged Natalie and they both inched their way towards the card table.,0.0
104,104," he smiled , wiping the tears from his face .","She smiled, wiping the tears from her face.",0.0
105,105, never before had she heard someone say something truly shocking than he .,Never before had he heard someone say something truly shocking than he.,0.0
106,106," Intoxicated by his plan, Tommy gently unhooked the picture of the Devil and Faust, and settled himself in position. Tommy got into position to do his plan.","Intoxicated by his plan , Tommy gently unhooked the picture of the Devil and Faust , and settled herself in position . Tommy got into position to do his plan.",0.0
107,107," All the discoveries have been made by Japp, and Japp will take all the credit.  Japp discovered that the murderer is not John.","All the discoveries have been made by Japp , and Japp will take all the credit . Japp discovered that the murderer is not Ann .",0.0
108,108," he wanted to lose his mind , but some last shred of himself - whoever he was - kept him clinging to sanity .","She wanted to lose her mind , but some last shred of herself - whoever she was - kept her clinging to sanity .",0.0
109,109," Lush and beautifully photographed ( somebody suggested the stills might make a nice coffee table book ) , but ultimately you 'll leave the theater wondering why these people mattered .","Lush and beautifully photographed ( somebody suggested the stills might make a nice coffee table book), but ultimately you'll leave the theater wondering why these people mattered . ",0.0
110,110, the boy apparently did not understand .,the girl apparently did not understand.,0.0
111,111," Longfang was well known to kick the manhood when he grew frustrated. Longfang was a peaceful, happy man.","Longfang was well known to kick the manhood when he grew frustrated . Leo was a peaceful , happy man .",0.0
112,112, he moved to grab his young wife and she flinched away .,She moved to grab her young wife and she flinched away.,0.0
113,113," now , lets look for a nice sample , dave thought as he began examining the strange variety of skulls on his way back .","Now, let's look for a nice sample, Daisy thought as she began examining the strange variety of skulls on her way back.",0.0
114,114," once she was up , he followed in a quarter of the time ; elaina tried to hide her consternation .","Once he was up, he followed in a quarter of the time; John tried to hide his consternation.",0.0
115,115, instead he walked across the long beach towards a kiosk where most of the umbrellas and people were gathered .,"Instead, she walked across the long beach towards a kiosk where most of the umbrellas and people were gathered.",0.0
116,116," i wish i had moms knowledge of ancient languages , said dad .","I wish I had mom's knowledge of ancient languages, said mom.

",0.0
117,117, she leaned forward trying to free herself from the wheelchair by stretching the taut rope that held her arms in place .,"He leaned forward trying to free himself from the wheelchair by stretching the taut rope that held his arms in place.

",0.0
118,118," For the rest of us , sitting through Dahmer 's two hours amounts to little more than punishment .","For the rest of us , sitting through Sophia's two hours amounts to little more than punishment .

",0.0
119,119," What so? So, this Jacek, he walks around and says he has only one woman. Jacek honestly told everyone that he has many women.","What so? So, this Jackie, she walks around and says she has only one woman. Jackie honestly told everyone that she has many women.",0.0
120,120," david asked , unsure if his ivy league alma mater wouldnt raise even more suspicion .","Danielle asked, unsure if her Ivy League alma mater wouldn't raise even more suspicion.",0.0
121,121," no sooner had the pack landed on the rocks far below than chris was beside eric , and the two of them managed to lift phillip on top of the bridge .","No sooner had the pack landed on the rocks far below than Christina was beside Eric, and the two of them managed to lift Phillip on top of the bridge.",0.0
122,122," Someday, if he had the chance, he'd flay his own overseer, but that could wait. He thought about how he would flay his master when given the chance.","Someday, if she had the chance, she'd flay her own overseer, but that could wait. She thought about how she would flay her master when given the chance.",0.0
123,123," What had he expected, anyway? He had not expected anything to begin with.","What had she expected, anyway? She had not expected anything to begin with.

",0.0
124,124, he had heard something said about supper .,She had heard something said about supper.,0.0
125,125," Incidentally, he also asserts wrongly that Richard Nixon's Christmas bombing of Hanoi in 1972 made peace possible. He has made a lot of wrong assertions about Nixon.","Incidentally, he also asserts wrongly that Regina Nixon's Christmas bombing of Hanoi in 1972 made peace possible. He has made a lot of wrong assertions about Nixon.",0.0
126,126, 'Over half my men...' White muttered. He yelled that not one of his men had fallen.,'Over half my women ... ' White muttered . He yelled that not one of his women had fallen .,0.0
127,127," More than their unique residences , Home Movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it .","More than their unique residences , Home Movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it .",0.0
128,128," Mr. Hersheimmer asked me, I remember  "" He half turned to Julius. He had never met Mr. Hersheimmer.","Ms. Helen asked me , I remember `` He half turned to Julius . He had never met Ms. Helen.",0.0
129,129," Mrs. Cavendish's behaviour could only be explained that way."" 139 ""And yet you say he may be acquitted?"" Poirot shrugged his shoulders.  Poirot is not sure if the subject will be acquitted. ",Mrs. Cavendish 's behaviour could only be explained that way . '' 139 `` And yet you say he may be acquitted ? '' Paula shrugged his shoulders . Poirot is not sure if the subject will be acquitted .,0.0
130,130," In theory , a middle-aged romance pairing Clayburgh and Tambor sounds promising , but in practice it 's something else altogether -- clownish and offensive and nothing at all like real life .","In theory, a middle-aged romance pairing Clayburgh and Tamara sounds promising, but in practice it's something else altogether-- clownish and offensive and nothing at all like real life.",0.0
131,131," A small fortune in salaries and stunt cars might have been saved if the director , Tom Dey , had spliced together bits and pieces of Midnight Run and 48 Hours ( and , for that matter , Shrek ) .","A small fortune in salaries and stunt cars might have been saved if the director, Tom Dey, had spliced together bits and pieces of ""Midnight Run"" and ""48 Hours"" (and, for that matter, ""Shrek"").",0.0
132,132, joseph 's entire frame paused as he mulled over her words .,Joseph's entire frame paused as he mulled over his words.,0.0
133,133," paul , himself , had never been into hunting , and had never gone into the woods with steven , but it was common knowledge in radcliff that steven had skills .","Paula, herself, had never been into hunting. She had never gone into the woods with Steven, but it was common knowledge in Radcliff, that Steven had skills.",0.0
134,134, never before had she heard someone say something truly shocking than he .,Never before had she heard someone say something truly shocking than her.,0.0
135,135," I see. In spite of her laugh, Mary was looking thoughtful this morning.  Mary did not look thoughtful this morning.","I see . In spite of her laugh , Mary was looking thoughtful this morning . Henry did not look thoughtful this morning .

",0.0
136,136, he just smirked and smiled silently .,She just smirked and smiled silently.,0.0
137,137," here was the woman who had tarzyn 's title , and tarzyn 's estates , and was going to marry the man whom tarzyn loved -- the man who loved tarzyn .","here was the woman who had tina 's title , and tina 's estates , and was going to marry the man whom tina loved -- the man who loved tina .",0.0
138,138," he pushed me down until i was lying on the bench with my head pillowed on his thigh , reached the length of me to tuck the hem of my robe in around my feet , then leaned his back against the wall .","She pushed me down until i was lying on the bench with my head pillowed on her thigh , reached the length of me to tuck the hem of my robe in around my feet , then leaned her back against the wall .

",0.0
139,139," richard went , fast ; he had no cause to move silently and reached the harbor in under an hour .","Rachel went, fast; she had no cause to move silently and reached the harbor in under an hour.",0.0
140,140," The movie obviously seeks to re-create the excitement of such '50s flicks as Jules Verne 's ' 20,000 Leagues Under the Sea ' and the George Pal version of H.G. Wells ' ` The Time Machine . '","The movie obviously seeks to re-create the excitement of such '50s flicks as Jules Verne's 20,000 Leagues Under the Sea' and the Gabriella Pal version of H.G. Wells' The Time Machine.",0.0
141,141," She 's not yet an actress , not quite a singer ...","she's not yet an actress , not quite a singer...",0.0
142,142, he half-laughed and bowed his head again .,she half-laughed and bowed her head again.,0.0
143,143," in one hand , he carried a picnic basket his mother had made for them , in his other was a blanket .","In one hand, she carried a picnic basket her mother had made for them, in her other was a blanket.",0.0
144,144," About Amy 's cuteness , Amy 's career success ( she 's a best-selling writer of self-help books who ca n't help herself ) , and Amy 's neuroses when it comes to men .","About Amy 's cuteness, Amy 's career success (she 's a best-selling writer of self-help books who can't help herself), and Amy's neuroses when it comes to women. ",0.0
145,145," On his mention of the gods, Gauve's wife made a sign in the air with two fingers held out at a right angle and she whispered something under her breath. Gauve's wife started shouting loudly.","On his mention of the gods , Gauve 's husband made a sign in the air with two fingers held out at a right angle and he whispered something under his breath . Gauve 's husband started shouting loudly .",0.0
146,146," jodi received more information , reichmann obviously thought jodi was privy to classified information and daily chats on mi affairs with her husband .",Joe received more information; Reichmann obviously thought Joe was privy to classified information and daily chats on my affairs with his husband.,0.0
147,147, the old man walked over to the desk and set the package down carefully .,the old woman walked over to the desk and set the package down carefully.,0.0
148,148, Kevin gets rejected<br>Kevin is dancing in the club. He is having a great time. He tries to dance with a pretty woman. The woman says no. Kevin gets rejected and goes home. Kevin was accepted.,Kylie gets rejected < br > Kylie is dancing in the club . She is having a great time . She tries to dance with a pretty woman . The woman says no . Kylie gets rejected and goes home . Kylie was accepted .,0.0
149,149," but he had given andre boudreaus life back to him too , and andre seemed to be a happy man , and devoted to west .","but he had given andrea boudreau's life back to her too , and andrea seemed to be a happy woman , and devoted to west .",0.0
150,150," whisper , watching the young agent , found himself bemused by his attempt to disguise himself as part of the tour group .","Whisper, watching the young agent, found herself bemused by her attempt to disguise herself as part of the tour group.

",0.0
151,151, A remarkably alluring film set in the constrictive Eisenhower era about one suburban woman 's yearning in the face of a loss that shatters her cheery and tranquil suburban life .,A remarkably alluring film set in the constrictive Eisenhower era about one suburban woman's yearning in the face of a loss that shatters him cheery and tranquil suburban life.,0.0
152,152," I shouldn't wonder if she stole those papers from Danvers to begin with."" I'm going to keep thinking about her stealing those papers.",I shouldn't wonder if he stole those papers from Danvers to begin with.  I'm going to keep thinking about him stealing those papers.,0.0
153,153," his heart pounding , chris reached into his pocket for his lighter , flicking it again to make sure it worked .","Her heart pounding, Cassie reached into her pocket for her lighter, flicking it again to make sure it worked.",0.0
154,154," william had only eyes for sara and rebecca had only eyes for richard , who maintained the farce by pretending to point out the sights in french .","Willa only had eyes for Sara, and Rebecca only had eyes for Richard. Richard maintained the farce by pretending to point our the sights in French.",0.0
155,155," if we do not kill him , we will be making a horrid mistake ; he will arise as part of her evil , as one of her children .","If we do not kill her, we will be making a horrid mistake; she will arise as part of her evil, as one of her children.",0.0
156,156," i mean , if i am thinking sharper , let us not forget that laurence was a lunatic , our studying subject and abigail was conscious that she could not link herself to a man who can hurt her .","I mean, if I am thinking sharper, let us not forget that Laurence was a lunatic, our studying subject and John was conscious that he could not link himself to a man who can hurt him.",0.0
157,157," she turned to kim and shouted , shoot it !","she turned to Ken and shouted, shoot it!",0.0
158,158," she stared at her , considering the past day .","He stared at her , considering the past day .",0.0
159,159, He accosted me eagerly.  It was a man who approached me eagerly. ,"She accosted me eagerly. It was a woman who approached me eagerly.

",0.0
160,160," Even though it 's common knowledge that Park and his founding partner , Yong Kang , lost Kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .","Even though it's common knowledge that Park and her founding partner, Yong Kang, lost Kozmo in the end, you can't help but get caught up in the thrill of the company's astonishing growth.",0.0
161,161," if erlan arranged a different marriage for alakar , her husband could be a threat to kovat , especially if erlan picked a strong ally of his own .","If Erlan arranged a different marriage for Alak, his husband could be a threat to Kovat , especially if Erlan picked a strong ally of his own.",0.0
162,162," Andrew Young, Maynard Jackson, and the mulatto elite dismissed Lewis and lined up behind Bond. Andrew, Maynard, and the mulatto elite stood behind Bond.","Andrew Young, Maynard Jackson, and the mulatto elite dismissed Marry and lined up behind Bond. Andrew, Maynard, and the mulatto elite stood behind Bond.",0.0
